student_id,student_name,email,phone,dropout_threshold,dropout_probability,dropout_status
9300888,Loretta Barrett,loretta.barrett@gmail.com,818-599-0524,0.5,0.9995671542277286,Dropout
9301961,Kevin Williams,kevin.williams@gmail.com,988-011-8800,0.5,0.9995172928448894,Dropout
9302904,Jose Cole,jose.cole@gmail.com,269-969-2791,0.5,0.9994496038561052,Dropout
9304374,Sherry Robertson,sherry.robertson@gmail.com,777-447-4577,0.5,0.9994436493507531,Dropout
9303820,Joseph Moses,joseph.moses@gmail.com,141-675-1194,0.5,0.9969886119101152,Dropout
9304321,Stephanie Torres,stephanie.torres@gmail.com,218-252-9054,0.5,0.9949118927445736,Dropout
9300714,Bernard Hughes,bernard.hughes@gmail.com,372-379-1405,0.5,0.9925142926475788,Dropout
9300527,Spencer Thompson,spencer.thompson@gmail.com,480-372-8990,0.5,0.9920282800539123,Dropout
9303067,Renee Kaiser,renee.kaiser@gmail.com,114-613-8594,0.5,0.9914741568522938,Dropout
9300747,Eric Pacheco,eric.pacheco@gmail.com,247-017-0794,0.5,0.9904236442282602,Dropout
9300047,Kayla Nelson,kayla.nelson@gmail.com,521-242-6103,0.5,0.9903677338994539,Dropout
9302848,Laura Campbell,laura.campbell@gmail.com,822-623-3117,0.5,0.99008868868939,Dropout
9304173,Chad Garcia,chad.garcia@gmail.com,188-066-6931,0.5,0.9899459617496914,Dropout
9300022,Jennifer Wood,jennifer.wood@gmail.com,517-822-9375,0.5,0.9897710973857148,Dropout
9302623,Jamie Gonzalez,jamie.gonzalez@gmail.com,426-481-8096,0.5,0.9890824919100474,Dropout
9303056,Donald Coffey,donald.coffey@gmail.com,252-930-2416,0.5,0.9886475504256664,Dropout
9303536,Christopher Leonard,christopher.leonard@gmail.com,600-635-2612,0.5,0.9885994918978923,Dropout
9302452,Kelly Rice,kelly.rice@gmail.com,384-926-2407,0.5,0.9881456689894921,Dropout
9301575,Francis Lopez,francis.lopez@gmail.com,956-257-6445,0.5,0.9880146630683536,Dropout
9302442,Paul Lee,paul.lee@gmail.com,995-405-9999,0.5,0.9879975360219584,Dropout
9302548,Deborah Davidson,deborah.davidson@gmail.com,445-844-0642,0.5,0.9874320100758134,Dropout
9300712,Jeremy Adams,jeremy.adams@gmail.com,840-606-9304,0.5,0.9865764704988648,Dropout
9301265,Robert Cole,robert.cole@gmail.com,185-875-6945,0.5,0.9862129806927818,Dropout
9301783,Lori Jacobson,lori.jacobson@gmail.com,455-453-9850,0.5,0.9855556243423852,Dropout
9301578,Christine Hodges,christine.hodges@gmail.com,936-398-9108,0.5,0.984965699918677,Dropout
9300864,Shawn Gordon,shawn.gordon@gmail.com,239-555-5638,0.5,0.9843782514490275,Dropout
9303350,Jamie Reese,jamie.reese@gmail.com,817-731-0227,0.5,0.9820581811796701,Dropout
9304070,Timothy Stevenson,timothy.stevenson@gmail.com,873-473-9473,0.5,0.9816503204449962,Dropout
9302868,Jacqueline Lewis,jacqueline.lewis@gmail.com,387-788-4681,0.5,0.9815912684875496,Dropout
